상품 ID	상품명 	상품 가격 	모바일 상품 가격 	정가 	상품 URL 	상품 모바일 URL	이미지 URL 	추가 이미지 URL	제휴사 카테고리명(대분류)	제휴사 카테고리명(중분류)	제휴사 카테고리명(소분류)	제휴사 카테고리명(세분류)	네이버 카테고리	가격비교 페이지 ID	상품상태	해외구매대행 여부	병행수입 여부	주문제작상품 여부	판매방식 구분	미성년자 구매불가 상품 여부	상품 구분	바코드	제품코드	모델명	브랜드	제조사	원산지	카드명/카드할인가격	이벤트	일반/제휴쿠폰	쿠폰다운로드필요 여부	카드 무이자 할부 정보	포인트	별도 설치비 유무	사전매칭코드	검색태그	Group ID	제휴사 상품 ID	코디상품ID	최소구매수량	상품평(리뷰,구매평) 개수	배송료	차등배송비 여부	차등배송비 내용	상품속성	구매옵션	셀러 ID (오픈마켓에 한함)	주 이용 고객층	성별	배송부가정보	
G1809171708_1514	내츄럴플러스 프로폴리스 500(총 플라보노이드 17mg) 1병(6개월분)	18900	18900	35000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809171708_1514	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809171708_1514	/image/image-view?type=GOODSDTL&id1=20180917_3fc8d6ddedf969859f2c6a768d563017cbae638f3a7da837a738f9dbd37a5f41_110x110x01	/image/image-view?type=GOODSDTL&id1=20180917_3fc8d6ddedf969859f2c6a768d563017cbae638f3a7da837a738f9dbd37a5f41_735x645x02	건강식품	영양제					신상품	N	N	N		N						NATURAL LIFE NUTRITION INC	캐나다							N							0						19				
G1809181517_1541	시트램 트윙클 웍팬 28cm 	34900	34900	0	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809181517_1541	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809181517_1541	/image/image-view?type=GOODSDTL&id1=20180918_9185043421785ae95b15d592fbbefd684e96fc7508ca96538abf928d51648a0b_110x110x01	/image/image-view?type=GOODSDTL&id1=20180918_9185043421785ae95b15d592fbbefd684e96fc7508ca96538abf928d51648a0b_735x645x02	리빙	주방/식기	후라이팬	후라이팬 단품			신상품	N	N	N		N						삼광글라스	대한민국							N		후라이팬|프라이팬|튀김팬|궁중팬|주방용품|삼광글라스					0						26				
G1809181602_1555	시트램 바이킹 웍팬 28cm	54900	54900	0	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809181602_1555	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809181602_1555	/image/image-view?type=GOODSDTL&id1=20180918_6f27397ad0b2315125a0e22f05995fdac7d7effacc720cf2b5cfa6997ddce5a5_110x110x01	/image/image-view?type=GOODSDTL&id1=20180918_6f27397ad0b2315125a0e22f05995fdac7d7effacc720cf2b5cfa6997ddce5a5_735x645x02	리빙	주방/식기	후라이팬	후라이팬 단품			신상품	N	N	N		N						삼광글라스	대한민국							N		후라이팬|프라이팬|튀김팬|궁중팬|화강암 코팅|주방용품|조리도구					0						26				
G1809181637_1557	베베톡스 앰플세트	139000	139000	170000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809181637_1557	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809181637_1557	/image/image-view?type=GOODSDTL&id1=20180918_3ac865c3e3cf1344997b20438b30a24d4800fc2d23332fd10eec7e9f9cd89390_110x110x01	/image/image-view?type=GOODSDTL&id1=20180918_3ac865c3e3cf1344997b20438b30a24d4800fc2d23332fd10eec7e9f9cd89390_735x645x02	뷰티	스킨케어					신상품	N	N	N		N														N							0						25				
G1809111800_1420	뜨레뷰 미라클01M 브라운(3weeks/6+4ea) 1+1=2P	40000	40000	40000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809111800_1420	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809111800_1420	/image/image-view?type=GOODSDTL&id1=20180911_24e2ea706c3de59bfa676412149ae9c8237dcf8a0bc41a24336ddf00b326c2c5_110x110x01	/image/image-view?type=GOODSDTL&id1=20180911_24e2ea706c3de59bfa676412149ae9c8237dcf8a0bc41a24336ddf00b326c2c5_735x645x02	콘택트렌즈	브랜드별	TREVUES				신상품	N	N	N		N					TREVUES									N							0						1				
G1809111818_1426	뜨레뷰 몰디브01M 브라운(1month/3ea)3가지 컬러조합! 1+1=2P	25000	25000	25000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809111818_1426	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809111818_1426	/image/image-view?type=GOODSDTL&id1=20180911_93a04bff86b6fa797fb84757c85543d58bfa2b83c9cd2f3eabddbe5365ba70d3_110x110x01	/image/image-view?type=GOODSDTL&id1=20180911_93a04bff86b6fa797fb84757c85543d58bfa2b83c9cd2f3eabddbe5365ba70d3_735x645x02	콘택트렌즈	브랜드별	TREVUES				신상품	N	N	N		N					TREVUES									N							0						1				
G1809111821_1427	뜨레뷰 몰디브03M 그레이(1month/3ea)3가지 컬러조합! 1+1=2P	25000	25000	25000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809111821_1427	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809111821_1427	/image/image-view?type=GOODSDTL&id1=20180911_f4a101bec8e4ae39014fc273cf686ebf7c2e4608196767c50f1e9b2244a88ce9_110x110x01	/image/image-view?type=GOODSDTL&id1=20180911_f4a101bec8e4ae39014fc273cf686ebf7c2e4608196767c50f1e9b2244a88ce9_735x645x02	콘택트렌즈	브랜드별	TREVUES				신상품	N	N	N		N					TREVUES									N							0						1				
G1809111825_1428	뜨레뷰 올리비아02M 초코(1month/3ea)2가지 컬러조합! 1+1=2P	25000	25000	25000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809111825_1428	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809111825_1428	/image/image-view?type=GOODSDTL&id1=20180911_09095936e024c435eb21aafe0766f136276939d74ed6e7cfbacb5d64ea2faa2d_110x110x01	/image/image-view?type=GOODSDTL&id1=20180911_09095936e024c435eb21aafe0766f136276939d74ed6e7cfbacb5d64ea2faa2d_735x645x02	콘택트렌즈	브랜드별	TREVUES				신상품	N	N	N		N					TREVUES									N							0						1				
G1809111839_1432	뜨레뷰 러블리믹스01S 브라운(3days/20ea)2톤컬러의 자연스러움	33000	33000	33000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809111839_1432	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809111839_1432	/image/image-view?type=GOODSDTL&id1=20180911_755037f1dfb7b9cbd0cbb42efc5d1c9465907ec68ab8c8abd63f810bb8d39030_110x110x01	/image/image-view?type=GOODSDTL&id1=20180911_755037f1dfb7b9cbd0cbb42efc5d1c9465907ec68ab8c8abd63f810bb8d39030_735x645x02	콘택트렌즈	브랜드별	TREVUES				신상품	N	N	N		N					TREVUES									N							0						1				
G1809111847_1433	뜨레뷰 러블리믹스03S 그레이(3days/20ea)2톤컬러의 자연스러움	33000	33000	33000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809111847_1433	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809111847_1433	/image/image-view?type=GOODSDTL&id1=20180911_60393227db796f1ebf87a3c8429f49b234adec9a287c6afb016c3ec515eb7302_110x110x01	/image/image-view?type=GOODSDTL&id1=20180911_60393227db796f1ebf87a3c8429f49b234adec9a287c6afb016c3ec515eb7302_735x645x02	콘택트렌즈	브랜드별	TREVUES				신상품	N	N	N		N					TREVUES									N							0						1				
